Categoria;Prodotto;nome_prodotto;page_start;page_finish;codici_modelli
Automazioni per ante a battente con motore interrato;770N 24V;770N 24V;100;101;10675301
Automazioni per ante a battente con motore interrato;S800H ENC;S800H ENC;102;103;"108720;108722;108724;108725"
Automazioni per ante a battente con motore interrato;S800 ENC;S800 ENC;104;106;"108800;108801;108802;108803"
Automazioni per cancelli scorrevoli;C4000I;C4000I;108;109;109001
Automazioni per cancelli scorrevoli;C720;C720;110;111;109320
Automazioni per cancelli scorrevoli;C721;C721;112;113;109321
Automazioni per cancelli scorrevoli;740;740;114;115;1097805
Automazioni per cancelli scorrevoli;740 C;740 C;116;117;109600
Automazioni per cancelli scorrevoli;741;741;118;119;1097815
Automazioni per cancelli scorrevoli;741 C;741 C;120;121;109602
Automazioni per cancelli scorrevoli;746 C;746 C;122;123;"109745;109746"
Automazioni per cancelli scorrevoli;844 C;844 C;124;125;"109925;109926"
Automazioni per cancelli scorrevoli;844 3PH;844 3PH;126;127;"109904;109928"
Automazioni per cancelli scorrevoli;884 MC 3PH;884 MC 3PH;128;129;109885
Automazioni per cancelli scorrevoli;C851;C851;130;132;109903
Automazioni per porte sezionali;D600;D600;134;135;"110600;390120;390126;390132;390139;390226;390232;390239"
Automazioni per porte sezionali;D700 HS;D700 HS;136;137;"110602;390120;390126;390132;390139;390226;390232;390239"
Automazioni per porte sezionali;D1000;D1000;138;139;"110601;390120;390126;390132;390139;390226;390232;390239"
Automazioni per porte basculanti;550;550;148;149;"110549;110553;110558;110562"
Automazioni per porte basculanti;580 - 593;580 593;150;152;"104501;104502;110597"
Automazioni per porte a libro;390 230V;390 230V;154;155;104570
Automazioni per porte a libro;560;560;156;157;"104561;104562"
Barriere automatiche;B614;B614;160;163;"104614;1046143;428002;428042;428043;428045;428046;428088;428089;428090;428091;428615"
Barriere automatiche;615BPR;615BPR;164;167;"104906;104910;428002;428042;428043;428045;428046;428088;428089;428090;428091;428615;721005;721006;721007;721008;721018"
Barriere automatiche;620 Standard;620 Standard;168;171;"428002;428042;428043;428045;428046;428088;428089;428090;428091;428176;428615"
Barriere automatiche;620 Rapida;620 Rapida;172;175;"428042;428045;428088;428089;428090;428176"
Barriere automatiche;B680H;B680H;176;179;"104680;428042;428043;428044;428045;428046;428047;428048;428049;428050;428051;428176;428615;428616"
Apparecchiature elettroniche di comando;Contenitori;;187;187;"720118;720119;720309"
Apparecchiature elettroniche di comando;Schede elettroniche;;188;194;
Accessori per automazioni;Dispositivi Simply Connect;;196;196;"787349;787378;787510;790418"
Accessori per automazioni;Applicazioni Simply Connect;;197;199;"787349;787378;787510;790418"
Accessori per automazioni;Sistema 433-868MHz FDS;Sistema 433-868MHz FDS;200;201;"787021;787022;787023;787024;787025"
Accessori per automazioni;Sistema 433-868MHz FDS BD;Sistema 433-868MHz FDS BD;202;203;"787021;787022;787023;787024;787025"
Accessori per automazioni;XTO - Sistema 868MHz SLH-DS;XTO;204;205;"785534;787023;787024;787832;787834;787854;787855"
Accessori per automazioni;XTO - Sistema 433 MHz SLH-SL-DS-RC;XTO;206;207;"785534;787023;787024;787831;787833;787852;787853;787856;787857"
Accessori per automazioni;Sistema 433MHz RC;Sistema 433MHz RC;214;215;"787023;787024;787456;787831;787856;787857"
Accessori per automazioni;Datori d'impulso semplici;;216;219;"391456;401012;401013;401014;401015;401016;401017;401044;401045;401046;401047;401302;401303;401304;401305"
Accessori per automazioni;Datori d'impulso elettronici;;220;222;"404037;404038;404039;785527;785529;786040;786041;790904"
Accessori per automazioni;Alimentatore supplementare;;223;223;"785527;785529;786040;786041;790904"
Accessori per automazioni;Fotocellule da parete orientabili;;224;225;"785102;785103;785104"
Accessori per automazioni;Fotocellule da parete o incasso;;226;226;"105536;105781;105782;785105;7851051;785106;7851061"
Accessori per automazioni;XS Costa di sicurezza;;227;228;"105536;105781;105782;785105;7851051;785106;7851061;785200"
Accessori per automazioni;Sensori Laser;M60;234;234;736425
Accessori per automazioni;M60 Costa elettromeccanica;M60;235;235;736425
Accessori per automazioni;Accessori e materiali di consumo;;238;238;
Automazioni per serrande avvolgibili;RL200;RL200;240;241;"109950;109951"
Automazioni per serrande avvolgibili;RH200B;RH200B;242;243;"109960;109961"
Automazioni per serrande avvolgibili;RH240;RH240;244;245;109971
Schemi di installazione;392 C;;263;263;
Schemi di installazione;390 230V;;263;263;
Schemi di installazione;412;;264;264;
Schemi di installazione;413 230V;;264;264;
Schemi di installazione;415 230V;;265;265;
Schemi di installazione;415 24V;;265;265;
Schemi di installazione;S418;;266;266;
Schemi di installazione;402;;266;266;
Schemi di installazione;S450H;;267;267;
Schemi di installazione;422;;267;267;
Schemi di installazione;400;;268;268;
Schemi di installazione;770N 230V;;268;268;
Schemi di installazione;770N 24V;;269;269;
Schemi di installazione;S800H ENC;;269;269;
Schemi di installazione;S800 ENC;;270;270;
Schemi di installazione;740;;270;270;
Schemi di installazione;740 C;;271;271;
Schemi di installazione;741 C;;271;271;
Schemi di installazione;741;;272;272;
Schemi di installazione;C4000I;;273;273;
Schemi di installazione;S2500I;;273;273;
Schemi di installazione;C720;;272;272;
Schemi di installazione;C721;;274;274;
Schemi di installazione;746 C;;274;274;
Schemi di installazione;844 C;;275;275;
Schemi di installazione;844 C 3PH;;275;275;
Schemi di installazione;884 MC 3PH;;276;276;
Schemi di installazione;C851;;276;276;
Schemi di installazione;D600;;277;277;
Schemi di installazione;D700 HS;;277;277;
Schemi di installazione;D1000;;278;278;
Schemi di installazione;540;;278;278;
Schemi di installazione;541;;279;279;
Schemi di installazione;541 3PH;;279;279;
Schemi di installazione;550;;280;280;
Schemi di installazione;593;;280;280;
Schemi di installazione;580;;281;281;
Schemi di installazione;B614;;282;282;
Schemi di installazione;615BPR;;282;282;
Schemi di installazione;620 Standard;;283;283;
Schemi di installazione;620 Rapida;;283;283;
Schemi di installazione;B680H;;281;281;
Schemi di installazione;RL200;;284;284;
Schemi di installazione;RH200B;;284;284;
Schemi di installazione;RH240;;285;285;
Schemi di installazione;RH240B;;285;285;
