categoria_prodotto;nome_prodotto;titolo_prodotto;tipo_layout;descrizione_categoria;codici_modelli;prodotti_correlati
Automazioni per ante a battente esterno;413 230V;413 230V;automazione;Operatori per cancelli a battente montaggio esterno;"104413;404040;490349;667755;669900;720118;720119;720309;737604;790062;790076;790077";
Automazioni per ante a battente esterno;415 230V;415 230V;automazione;Operatori per cancelli a battente montaggio esterno;"104415;104417;404040;490349;720118;720119;720309;727525;737604;790062;790076;790077";
Automazioni per ante a battente esterno;415 24V;415 24V;automazione;Operatori per cancelli a battente montaggio esterno;"102011;390130;390923;390926;490349;727525;737604;790062;790286;790305;1044151;1044171";
Automazioni per ante a battente esterno;390 230V;390 230V;automazione;Operatori per cancelli a battente montaggio esterno;"104570;390682;401057;720118;720119;720309;738705;790062;790076;790077";
Automazioni per ante a battente esterno;392 C;392 C;automazione;Operatori per cancelli a battente montaggio esterno;"102011;104583;104584;390130;390267;390923;390926;391456;424001;790062;790305";
Automazioni per ante a battente esterno;402;402;automazione;Operatori per cancelli a battente montaggio esterno;"104468;104474;404040;490349;713002;720118;720119;720309;737604;790062;790076;790077";
Automazioni per ante a battente esterno;422;422;automazione;Operatori per cancelli a battente montaggio esterno;"104200;104210;404040;490349;720118;720119;720309;737604;790062;790076;790077;712501001";
Automazioni per ante a battente esterno;400;400;automazione;Operatori per cancelli a battente montaggio esterno;"104201;104202;104203;104205;104206;104220;404040;490042;490043;490349;720118;720119;720309;737604;790062;790076;790077;712501001";
Automazioni per ante a battente esterno;S450H;S450H;automazione;Operatori per cancelli a battente montaggio esterno;"104100;104101;114115;124125;134135;144145;154155;164165;390923;390926;790062;790305;712501001";
Automazioni per ante a battente con motore interrato;S2500I;S2500I;automazione;Operatori per cancelli a battente con motore interrato;"102011;104250;390091;390130;390926;391456;416250;416251;490250;490252;490253;490254;490255;790305;424550001";
Automazioni per ante a battente con motore interrato;770N 230V;770N 230V;automazione;Operatori per cancelli a battente con motore interrato;"390612;404035;490065;490110;490111;720118;720119;720309;722121;722122;790062;790076;790077;10675201;712104001";
Automazioni per ante a battente con motore interrato;770N 24V;770N 24V;automazione;Operatori per cancelli a battente con motore interrato;"102011;390130;390612;390923;390926;404035;490065;490110;490111;722121;722122;790062;790286;790305;10675301;712104001";
Automazioni per ante a battente con motore interrato;S800H ENC;S800H ENC;automazione;Operatori per cancelli a battente con motore interrato;"108720;108722;108724;108725;390035;390926;390972;490112;490113;490187;790305;71209101";
Automazioni per ante a battente con motore interrato;S800 ENC;S800 ENC;automazione;Operatori per cancelli a battente con motore interrato;"108800;108801;108802;108803;110066;390035;390972;490112;490113;490187;720118;720119;720309;790062;790076;790077;71209101";
Automazioni per cancelli scorrevoli;C4000I;C4000I;automazione;Operatori per cancelli scorrevoli;"109001;110088;390178;490122;490123;490124;490125;490333;63003390";
Automazioni per cancelli scorrevoli;C720;C720;automazione;Operatori per cancelli scorrevoli;"109320;111100;390178;390923;424002;490122;490123;490124;490125;490333;63002485;712501001";
Automazioni per cancelli scorrevoli;C721;C721;automazione;Operatori per cancelli scorrevoli;"109321;111122;390178;390923;490122;490123;490124;490125;490333;63002485;712501001";
Automazioni per cancelli scorrevoli;740;740;automazione;Operatori per cancelli scorrevoli;"111144;202269;390178;490122;490123;490124;490125;490333;1097805";
Automazioni per cancelli scorrevoli;740 C;740 C;automazione;Operatori per cancelli scorrevoli;"109600;390178;490122;490123;490124;490125;490333";
Automazioni per cancelli scorrevoli;741;741;automazione;Operatori per cancelli scorrevoli;"111188;202269;390178;490122;490123;490124;490125;490333;1097815";
Automazioni per cancelli scorrevoli;741 C;741 C;automazione;Operatori per cancelli scorrevoli;"109602;390178;490122;490123;490124;490125;490333";
Automazioni per cancelli scorrevoli;746 C;746 C;automazione;Operatori per cancelli scorrevoli;"109745;109746;112222;390178;490122;490123;490124;490125;490333;719130;719167;737816;63003478;71275101";
Automazioni per cancelli scorrevoli;844 C;844 C;automazione;Operatori per cancelli scorrevoli;"109925;109926;390178;490122;490123;490124;490125;490333;719130;719167;737816;63003478;71275101";
Automazioni per cancelli scorrevoli;844 3PH;844 3PH;automazione;Operatori per cancelli scorrevoli;"109904;109928;112266;202073;490122;490124;719130;719167;720118;720119;720309;737816;7191661;71275101";
Automazioni per cancelli scorrevoli;884 MC 3PH;884 MC 3PH;automazione;Operatori per cancelli scorrevoli;"109885;112288;202073;719169;719328;722123;737628";
Automazioni per cancelli scorrevoli;C851;C851;automazione;Operatori per cancelli scorrevoli;"109903;113300;490122;737850;63003207";
Automazioni per porte sezionali;D600;D600;automazione;Operatori per porte sezionali;"110600;390120;390126;390132;390139;390226;390232;390239;390488;390765;390768;390923;2024015;424591001";
Automazioni per porte sezionali;D700 HS;D700 HS;automazione;Operatori per porte sezionali;"110602;390120;390126;390132;390139;390226;390232;390239;390488;390765;390768;390923;63002425;424591001";
Automazioni per porte sezionali;D1000;D1000;automazione;Operatori per porte sezionali;"110601;390120;390126;390132;390139;390226;390232;390239;390488;390548;390765;390768;390923;2024025;424591001";
Automazioni per porte basculanti;550;550;automazione;Operatori per porte basculanti;"110123;110124;110125;110127;110549;110553;110554;110558;110562;390563;390564;390592;390607;424551;722136;722140;736022;738709;2022855;424550001";
Automazioni per porte basculanti;580 - 593;580 - 593;automazione;Operatori per porte basculanti;"104501;104502;110597;390432;390433;390434;390435;390563;390564;390594;720118;720119;720309;722299;736023;790062;790076;790077;424560001;424560101";
Automazioni per porte a libro;390 230V;390 230V;automazione;Operatori per porte a libro;"104570;390682;401057;720118;720119;720309;738706;790062;790076;790077";
Automazioni per porte a libro;560;560;automazione;Operatori per porte a libro;"104561;104562;490251;720118;720119;720309;738700;738703;790062;790076;790077";
Barriere automatiche;B614;B614;barriera;Barriere automatiche per controllo accessi;"104614;1046143";
Barriere automatiche;Aste B614;Aste per barriera B614;asta;Aste per barriera B614;"428002;428042;428043;428045;428046;428088;428089;428090;428091;428615";B614
Barriere automatiche;615BPR;615BPR;barriera;Barriere automatiche per controllo accessi;"104906;104910";
Barriere automatiche;Aste 615BPR;Aste per barriera 615BPR;asta;Aste per barriera 615BPR;"428002;428042;428043;428045;428046;428088;428089;428090;428091;428615";615BPR
Barriere automatiche;620 Standard;620 Standard;barriera;Barriere automatiche per controllo accessi;"1046218;1046418;1047048;1047148;1047508;1047518;1046408;1046428;1046478;1046488;1046208;1046228;1046268;1046278;1046288";
Barriere automatiche;Aste 620 Standard;Aste per barriera 620 Standard;asta;Aste per barriera 620 Standard;"428002;428042;428043;428045;428046;428088;428089;428090;428091;428176;428615";620 Standard
Barriere automatiche;620 Rapida;620 Rapida;barriera;Barriere automatiche per controllo accessi;"1046358;1046558;1046538;1046548;1046338;1046348";
Barriere automatiche;Aste 620 Rapida;Aste per barriera 620 Rapida;asta;Aste per barriera 620 Rapida;"428042;428045;428088;428089;428090;428176";620 Rapida
Barriere automatiche;B680H;B680H;barriera;Barriere automatiche per controllo accessi;104680;
Barriere automatiche;Aste B680H;Aste per barriera B680H;asta;Aste per barriera B680H;"428042;428043;428044;428045;428046;428047;428048;428049;428050;428051;428176;428615;428616";B680H
Barriere automatiche;Access XL2/XXL;Access XL2/XXL;barriera;Barriere automatiche per controllo accessi;;
Barriere automatiche;TOLL;TOLL;barriera;Barriere automatiche per controllo accessi;;
Apparecchiature elettroniche di comando;Contenitori;Contenitori;accessori;Apparecchiature elettroniche e schede di controllo;"720309;720119";
Apparecchiature elettroniche di comando;Schede elettroniche;Schede elettroniche;accessori;Apparecchiature elettroniche e schede di controllo;"102011;202073;202269;402502;790076;790077;790281;790286;790305;790905;790922;2022715;2022855;2024015;2024025;63000710;63001034;63002425;63002485;63003207;63003390;63003452;63003478";
Accessori per automazioni;Dispositivi Simply Connect;Dispositivi Simply Connect;accessori;Accessori per sistemi di automazione;"787378;787510";
Accessori per automazioni;Applicazioni Simply Connect;Applicazioni Simply Connect;accessori;Accessori per sistemi di automazione;"787378;787510";
Accessori per automazioni;Sistema 433-868MHz FDS;Sistema 433-868MHz FDS;accessori;Accessori per sistemi di automazione;"787017;787018";"RP FDS 433-868;RP2 FDS 433-868;XF FDS 433-868;XR2N 433-868;XR4N 433-868"
Accessori per automazioni;Sistema 433-868MHz FDS BD;Sistema 433-868MHz FDS BD;accessori;Accessori per sistemi di automazione;"787019;787020";"RP FDS 433-868;RP2 FDS 433-868;XF FDS 433-868;XR2N 433-868;XR4N 433-868"
Accessori per automazioni;XTO - Sistema 868MHz SLH-DS;XTO - Sistema 868MHz SLH-DS;accessori;Accessori per sistemi di automazione;"787030;787031";"DECODER SLH;PLUS1 868 MHz;RP 868 SLH-DS;RP2 868 SLH-DS;XF 868;XR2N FDS 433-868 MHz;XR4N FDS 433-868 MHz;PLUS1 433 MHz;RP 433 SLH;RP1 433 RC;RP2 433 RC;RP2 433 SLH;XF 433"
Accessori per automazioni;XTO - Sistema 433 MHz SLH-SL-DS-RC;XTO - Sistema 433 MHz SLH-SL-DS-RC;accessori;Accessori per sistemi di automazione;"787856;787857";"DECODER SLH;PLUS1 868 MHz;RP 868 SLH-DS;RP2 868 SLH-DS;XF 868;XR2N FDS 433-868 MHz;XR4N FDS 433-868 MHz;PLUS1 433 MHz;RP 433 SLH;RP2 433 SLH;XF 433"
Accessori per automazioni;Sistema 433MHz RC;Sistema 433MHz RC;accessori;Accessori per sistemi di automazione;"787456;787856";"RP2 433 RC;XF 433;XR2N 433-868;XR4N 433-868"
Accessori per automazioni;Datori d'impulso semplici;Datori d'impulso semplici;accessori;Accessori per sistemi di automazione;"401012;401013";
Accessori per automazioni;Datori d'impulso elettronici;Datori d'impulso elettronici;accessori;Accessori per sistemi di automazione;"786041;786040";
Accessori per automazioni;Datori d'impulso per applicazioni speciali;Datori d'impulso per applicazioni speciali;accessori;Accessori per sistemi di automazione;;
Accessori per automazioni;Alimentatore supplementare;Alimentatore supplementare;accessori;Accessori per sistemi di automazione;"786041;786040";
Accessori per automazioni;Fotocellule da parete orientabili;Fotocellule da parete orientabili;accessori;Accessori per sistemi di automazione;"785103;785102";
Accessori per automazioni;Fotocellule da parete o incasso;Fotocellule da parete o incasso;accessori;Accessori per sistemi di automazione;"105536;105538";
Accessori per automazioni;XS Costa di sicurezza;XS Costa di sicurezza;accessori;Accessori per sistemi di automazione;"785200;105536";
Accessori per automazioni;Unità di controllo per coste di sicurezza;Unità di controllo per coste di sicurezza;accessori;Accessori per sistemi di automazione;785200;
Accessori per automazioni;Sistema Radio Coste;Sistema Radio Coste;accessori;Accessori per sistemi di automazione;"787012;787013";
Accessori per automazioni;SAFEcoder;SAFEcoder;accessori;Accessori per sistemi di automazione;"404035;404040;404041";
Accessori per automazioni;XLC;XLC;accessori;Accessori per sistemi di automazione;390130;
Accessori per automazioni;XUSB;XUSB;accessori;Accessori per sistemi di automazione;202274;
Accessori per automazioni;Sensori Laser;Sensori Laser;accessori;Accessori per sistemi di automazione;"736425;736426";
Accessori per automazioni;M60 Costa elettromeccanica;M60 Costa elettromeccanica;accessori;Accessori per sistemi di automazione;"736425;736426";
Accessori per automazioni;SAFE PRO - misuratore curva d'impatto;SAFE PRO - misuratore curva d'impatto;accessori;Accessori per sistemi di automazione;950224;
Accessori per automazioni;Lampeggiatori;Lampeggiatori;accessori;Accessori per sistemi di automazione;"410017;410029";
Accessori per automazioni;Accessori e materiali di consumo;Accessori e materiali di consumo;accessori;Accessori per sistemi di automazione;"714017;714041";
Automazioni per serrande avvolgibili;RL200;RL200;automazione;Operatori per serrande avvolgibili;"109950;391450;391452;391453;391454;391456;720119;790905";
Automazioni per serrande avvolgibili;RH200B;RH200B;automazione;Operatori per serrande avvolgibili;"109960;109961;391450;391452;391453;391454;391456;720119;790905";
Automazioni per serrande avvolgibili;RH240;RH240;automazione;Operatori per serrande avvolgibili;"109971;391450;391455;391456;720119;790905";
Automazioni per serrande avvolgibili;RH240B;RH240B;automazione;Operatori per serrande avvolgibili;"109981;391450;391455;391456;720119;790905";
