codice_sku,quantita,immagine_sku,ordine_tipo_componente,tipo_componente,nome_modello,modelli_correlati,descrizione_breve,tensione_alimentazione,corrente_assorbita,tipo_motore,potenza_massima,coppia_massima,materiale,trattamento_superficiale,forza_spinta,rapporto_riduzione,numero_max_schede_collegabili,velocita_angolare,velocita_anta,lunghezza_anta_max,lunghezza_asta_max,spazio_fermata,controllo_motore,tipo_finecorsa,pignone,regolazione_forza,peso_anta_max,angolo_apertura_max,temperatura_esercizio,termoprotezione,grado_protezione_ip,peso_unita,frequenza_utilizzo,larghezza_anta_max,dimensioni,scheda_elettronica,arresti_meccanici,tempo_utilizzo_continuo,tempo_apertura,encoder,tipo_rallentamento,tipo_asta,dimensione_pilastro,dispositivo_sblocco,condensatore_spunto,lunghezza_mm,unita_misura_prezzo,icona_badge,decodifica_radio,memoria_codici_radio,collegamento,note_tecniche,corsa_stelo,dimensioni_colonna,peso_anta_cantilever,portata_pompa,staffe_fissaggio,tipo_olio,tipo_utilizzo,velocita_stelo
104415,1,104415.tif,,accessorio,415 230V,,Attuatori elettromeccanici 415 230V,220-240V~ 50/60 Hz,,Asincrono monofase,300 W,,,,3000 N (*),,,,,,,,,,,,,110°,-20°C ÷ +55°C,140°C,IP54,"7,8 Kg",S3 - 30%,"2,5 m (3 m con elettroserratura)",836 x 101 x 147 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,300 mm,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s (*)
1044151,1,104415.tif,,accessorio,415 24V,,Attuatori elettromeccanici 415 24V,220-240V~ 50/60 Hz,,Con spazzole 24V,70 W,,,,2800 N,,,,,,,,,,,,,110°,-20°C ÷ +55°C,,IP54,"7,8 Kg",Uso continuo,"2,5 m (3 con elettroserratura)",836 x 101 x 147 mm,Non compresa,,,,,,,,,,,,,,,,,300 mm,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s
104415144,1,104415144components.tif,,Modello,MASTER kit 24V SAFE,,MASTER kit 24V SAFE,220-240V~ 50/60 Hz,,Con spazzole 24V,40W,320Nm,,,,,,,,,,,,,,,250 Kg,165°,-20°C Ã· + 55°C,,IP X4,"7,9 Kg (attuatore) - 3,3 Kg (cerniera) - 1,8 Kg (cover)",,"2 m (2,5m con elettroserratura)",340 x 160 x 150 mm,non compresa,opzionali,Continuo a 55°C,,Assoluto Magnetico BUS,,,"100x100, 120x120, 150x150 mm",,,,,,,,,,,,,,,,,
104415445,1,104415445components.tif,,Modello,MASTER kit 230V,,MASTER kit 230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104417,1,,,accessorio,415 L,,,220-240V~ 50/60 Hz,,Asincrono monofase,300 W,,,,3000 N (*),,,,,,,,,,,,,110°,-20°C ÷ +55°C,140°C,IP54,8 Kg,S3 - 30%,3 m (4 m con elettroserratura),942 x 101 x 148 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,400 mm,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s (*)
1044171,1,,,accessorio,415 L 24V,,,220-240V~ 50/60 Hz,,Con spazzole 24V,70 W,,,,2800 N,,,,,,,,,,,,,110°,-20°C ÷ +55°C,,IP54,8 Kg,Uso continuo,3 m (4 con elettroserratura),942 x 101 x 148 mm,Non compresa,,,,,,,,,,,,,,,,,400 mm,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s
104419445,1,104419445components.tif,,Modello,Trendy kit 230V,,Trendy kit 230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104468,1,104468.tif,,accessorio,402 CBC,,Attuatori oleodinamici 402 CBC,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,5000 N (*),,,,,,,,,,,,,110°,-20°C ÷ + 55°C,120°C,IP55,"6,5 Kg",55 cicli/ora,"1,80 m",959 x 85 x 85 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,250 mm,,,1 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,FAAC HP OIL,,13 mm/s (*)
104470,1,104470.tif,,accessorio,412 dx,,Attuatore elettromeccanico 412 destro,220-240V~ 50/60 Hz,,Asincrono monofase,280 W,,,,3500 N (*),,,,,,,,,,,,,110°,-20°C ÷ + 55°C,140°C,IP44,"6,5 Kg",18 cicli/ora,"1,8 m",991 x 101 x 172 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,290 mm,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s (*)
104471,1,104470.tif,,accessorio,412 sx,,Attuatore elettromeccanico 412 sinistro,220-240V~ 50/60 Hz,,Asincrono monofase,280 W,,,,3500 N (*),,,,,,,,,,,,,110°,-20°C ÷ + 55°C,140°C,IP44,"6,5 Kg",18 cicli/ora,"1,8 m",991 x 101 x 172 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,290 mm,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s (*)
104474,1,,,accessorio,402 SBS,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,6900 N (*),,,,,,,,,,,,,110°,-20°C ÷ + 55°C,120°C,IP55,"6,5 Kg",55 cicli/ora,3 m (con elettroserratura),959 x 85 x 85 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,250 mm,,,"0,75 lpm (*)",Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,FAAC HP OIL,,10 mm/s (*)
104501,,,,accessorio,580 CBAC,,Attuatore 580 CBAC,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,450 Nm|dati riferiti a 230V~ 50Hz.,,,,,,9°15'/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,120 °C,IP55,12 Kg,60 cicli/ora,,480 x 96 x 110 mm,Non compresa,,,20,,,,,,,,,,,,,,,,,"0,75 lpm|dati riferiti a 230V~ 50Hz.",,FAAC HP OIL,,
104502,,,,accessorio,580 SB,,580 SB,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,450 Nm|dati riferiti a 230V~ 50Hz.,,,,,,9°15'/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,120 °C,IP55,12 Kg,60 cicli/ora,,480 x 96 x 110 mm,Non compresa,,,20,,,,,,,,,,,,,,,,,"0,75 lpm|dati riferiti a 230V~ 50Hz.",,FAAC HP OIL,,
104561,,,,Modello,560 CBAC,,Attuatore oleodinamico con blocco idraulico in apertura/chiusura,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,320 Nm|dati riferiti a 230V~ 50Hz.,,,-,,,"12,4 °/s|dati riferiti a 230V~ 50Hz.",,,,,,,,,,,-20 °C ÷ +55 °C,120°C,IP55,12 Kg,80 cicli/ora,"1,50 m (singolo pannello)",480 x 85 x 110 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,,,,,1 lpm|dati riferiti a 230V~ 50Hz.,,FAAC HP OIL,,
104562,,,,Modello,560 SB,,Attuatore oleodinamico senza blocco idraulico,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,320 Nm|dati riferiti a 230V~ 50Hz.,,,-,,,"12,4 °/s|dati riferiti a 230V~ 50Hz.",,,,,,,,,,,-20 °C ÷ +55 °C,120°C,IP55,12 Kg,80 cicli/ora,"2,00 m (singolo pannello)",480 x 85 x 110 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,,,,,1 lpm|dati riferiti a 230V~ 50Hz.,,FAAC HP OIL,,
104570,1,104570.tif,,accessorio,390 230V,,Attuatori 390 230V,220-240V~ 50/60 Hz,,Asincrono monofase,280 W,250 Nm|dati riferiti a 230V~ 50Hz.,,,,,,8 °/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,120°,-20°C ÷ +55°C,140°C,IP44,"11,5 Kg",S3 - 30%,"1,8 m (3 m con elettroserratura)",412 x 133 x 134 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,,,,,,,,,
104575,1,104575components.tif,,Modello,ENERGY kit 24V SAFE,,ENERGY kit 24V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104583,,104584.png,,accessorio,392 C,,Attuatore 392 C con scheda elettronica e braccio articolato,220-240V~ 50/60 Hz,,Con spazzole 24V,,300 Nm (*),,,,,,8.5 °/s (*),,,,,,,,,Vedere grafico A,120°,-20 °C ÷ +65 °C,,IP44,11.7 Kg,Utilizzo continuo,2.5 m con elettroserratura,183 x 256 x 304 mm,E034 incorporata,,,,,,,,,,,,,,,,,,,,,,,,
104584,,104584.png,,accessorio,392,,Attuatore 392 senza scheda elettronica,-,,Con spazzole 24V,,300 Nm (*),,,,,,8.5 °/s (*),,,,,,,,,Vedere grafico A,120°,-20 °C ÷ +65 °C,,IP44,9 Kg,Utilizzo continuo,2.5 m con elettroserratura,183 x 256 x 304 mm,-,,,,,,,,,,,,,,,,,,,,,,,,
104614,,B614.tif,,accessorio,B614 Rosso RAL 3020,,B614 Rosso RAL 3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046143,,104614_RAL9006.tif,,accessorio,B614 Grigio RAL 9006,B614,B614 Grigio RAL 9006,220-240V ~ 50/60 Hz,,Con spazzole 24V,165 W,300 Nm,Acciaio,Prezincatura spessore 20μm + verniciatura a polvere in poliestere,,,,,,,6 m,,,,,,,,-20°C ÷ +55°C,,IP55 (scheda di controllo) - IP44,40 Kg,Utilizzo continuo,,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),E614,,,< 2 s (80°- 3m),Incrementale integrato nel motore,Elettronico + meccanico,Rettangolare e tonda,,,,,,,,,,,,,,,,,,
1046208,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046218,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046228,,1046268.tif,,accessorio,620 Standard,,Barriera 620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046268,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046278,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046288,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046338,,1046328.tif,,Modello,620 Rapida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046348,,1046328.tif,,Modello,620 Rapida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046358,,1046328.tif,,accessorio,620 Rapida,,Barriera 620 Rapida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046408,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046418,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046428,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046478,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046488,,1046268.tif,,accessorio,620 Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046538,,1046328.tif,,Modello,620 Rapida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046548,,1046328.tif,,Modello,620 Rapida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046558,,1046328.tif,,Modello,620 Rapida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104680,,104680.tif,,accessorio,B680H,B680H,Barriera B680H,Switching: 100 ÷ 240V~ 50/60 Hz,,Brushless 36V,240 W,,Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,,,,,,,2 ÷ 8 m,,,,,,,,-20°C ÷ +65°C,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),100%,,469 x 279 x 1100 mm,E680,,,"1,5 s (90° - 2m) - 6 s (90° - 8m)",Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,,,,,,,,,,,,,,"3,2 lpm",,FAAC HP OIL,,
1047048,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047148,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047508,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047518,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104906,,104906.tif,,accessorio,615BPR Standard Arancio RAL 2004,615BPR,615BPR Standard Arancio RAL 2004,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,0 ÷ 400 Nm|dati riferiti a 230V~ 50Hz,Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,,,,,,,5 m,,,,,,,,-20°C ÷ +55°C,120°C,IP44,34 Kg,50%,,270 x 140 x 1015 mm,615BPR incorporata,,,"5,7 s (90°)",No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,,,,,,,,,,,,,,"1,5 lpm|dati riferiti a 230V~ 50Hz",,FAAC HP OIL,,
104910,,,,accessorio,615BPR Standard Grigio RAL 9006,615BPR,615BPR Standard Grigio RAL 9006,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,0 ÷ 400 Nm|dati riferiti a 230V~ 50Hz,Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,,,,,,,5 m,,,,,,,,-20°C ÷ +55°C,120°C,IP44,34 Kg,50%,,270 x 140 x 1015 mm,615BPR incorporata,,,"5,7 s (90°)",No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,,,,,,,,,,,,,,"1,5 lpm|dati riferiti a 230V~ 50Hz",,FAAC HP OIL,,
105043,,,,accessorio,,,XGUARD 10H Sensore Laser Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105083,1,,,Modello,RAPID kit 800 Kg - 24V SAFE&GREEN,,RAPID kit 800 Kg - 24V SAFE&GREEN,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"41,5 x 42,5 x 130 mm",,,,,,,,,,,,,,,,,,,,,,,,,
105128,,,,accessorio,,,Batteria CR2 3V al litio per fotocellule XP 20W D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105531,,,,accessorio,,,"XS55 KIT COSTA DI SICUREZZA (L=2,5M)*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105535,,,,accessorio,,,Kit colla e Primer XS10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105536,,,,accessorio,,,"KIT A MISURA Costa di sicurezza fino a 2,5 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105537,,,,accessorio,,,"Kit profilo di alluminio 10PZ da 2,5m XS30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105538,,,,accessorio,,,"XS30 KIT COSTA DI SICUREZZA (L=2,5M)*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105547,,,,accessorio,,,"XS85 KIT COSTA DI SICUREZZA (L=2,5M)*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105592,,,,accessorio,,,Terminale con resistenza XSP R8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105593,,,,accessorio,,,Terminale con cavo XSP 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105594,,,,accessorio,,,Terminale con resistenza XSP R8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105598,,,,accessorio,,,Terminale con cavo XSP 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10561644,,10561644components.tif,,Modello,SOLID kit 230V SAFE,,SOLID kit 230V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10561644i,,,,,"Longherone di fissaggio 1,3 m (incluso in kit 10561644)",,"Longherone di fissaggio 1,3 m (incluso in kit 10561644)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056303445,1,1056303445components.tif,,Modello,DELTA 2 kit 230V SAFE,,DELTA 2 kit 230V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105630445,1,105630445components.tif,,Modello,DELTA 3 kit 230V SAFE,,DELTA 3 kit 230V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDS,,,,,,,,,,,
105632445,1,105632445components.tif,,Modello,ECO kit 230V,,ECO kit 230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDS,,,,,,,,,,,
105633445,,105633445components.tif,,Modello,Leader kit 230V,,Leader kit 230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10566544,,10566544components.tif,,Modello,DOLPHIN D600 kit 24V SAFE,,DOLPHIN D600 kit 24V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105683,,105683components.tif,,Modello,HYBRID kit 24V SAFE,,HYBRID kit 24V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105687,,,,accessorio,,,"Kit profilo di alluminio 10PZ da 2,5m XS55-XS85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
